Subscribers,trf,age,gndr,tenure,age_dev,dev_man,device_os_name,is_dualsim,is_featurephone,is_smartphone,simcard_type,region,call_frq_l1m,call_frq_l3m,call_frq_l6m,call_dur_l1m,call_dur_l3m,call_dur_l6m,call_dur_avg_l1m,call_dur_avg_l3m,call_dur_avg_l6m,call_onnet_frq_l1m,call_onnet_frq_l3m,call_onnet_frq_l6m,call_onnet_dur_l1m,call_onnet_dur_l3m,call_onnet_dur_l6m,call_onnet_dur_avg_l1m,call_onnet_dur_avg_l3m,call_onnet_dur_avg_l6m,call_offnet_frq_l1m,call_offnet_frq_l3m,call_offnet_frq_l6m,call_offnet_dur_l1m,call_offnet_dur_l3m,call_offnet_dur_l6m,call_offnet_dur_avg_l1m,call_offnet_dur_avg_l3m,call_offnet_dur_avg_l6m,sms_frq_l1m,sms_frq_l3m,sms_frq_l6m,data_usg_l1m,data_usg_l3m,data_usg_l6m,data_usg_avg_l3m,total_mon_val_l1m,total_mon_val_l3m,total_mon_val_l6m,refill_total_l1m,refill_total_l3m,refill_total_l6m,refill_frq_l1m,refill_frq_l3m,refill_frq_l6m,roam_mon_val_l1m,roam_mon_val_l3m,roam_mon_val_l6m,callout_total_dur,callout_total_dur_l3m,quota_daily_pack,quota_monthly_pack,quota_serbest_pack,quota_gencol_pack,data_usg_daily_pack,data_usg_serbest_pack_main,data_usg_gencol_pack,data_usg_monthly_pack,data_usg_night_hours,data_usg_unlmt_pack,data_usg_weekly_pack,data_usg_night_hours_l3m,data_usg_unlmt_pack_l3m,dpi_facebook,dpi_facebook_messaging,dpi_facebook_voip,dpi_facebook_video,dpi_instagram,dpi_linkedin,dpi_tik_tok,dpi_twitter,dpi_whatsaap,dpi_whatsaap_messaging,dpi_whatsaap_voip,dpi_youtube,dpi_microsoft_teams_l1m,dpi_telegram_l1m,dpi_telegram_voip_l1m,data_pack_rev_l1m,data_pyg_rev_l1m,data_usg_rev_l1m,data_usg_rev_l3m,data_complete_rev_l6m,call_out_offnet_rev_l1m,call_out_onnet_rev_l1m,call_out_offnet_rev_l3m,call_out_onnet_rev_l3m,call_out_offnet_rev_l6m,call_out_onnet_rev_l6m,sms_onnnet_arpu_l3m,sms_offnet_arpu_l3m,sms_onnnet_arpu_l6m,sms_offnet_arpu_l6m,susp_day_count_6m,silentdaycount
sub641,Serbest25,30,M,2838,530,Xiaomi,Android OS,1,0,1,3G,SALYAN,316.25,1076.4,2450.6499,35002.551,134982.41,322316.25,127.282,144.21001,151.248,174.8,502.54999,1070.65,14318.65,46785.449,106400.3,94.196503,107.06499,114.28699,41.400002,152.95,417.45001,12432.65,45201.898,97531.5,345.35651,339.8595,268.686,49.450001,227.7,616.40002,14996.828,41470.348,90536.344,13823.448,29.9,89.757507,150.99501,29.9,93.150002,182.85001,1.15,4.5999999,9.1999998,0,0,0,26751.301,91987.352,0,0,0,0,0,14947.7,0,0,1114.35,0,0,3904.25,0,4038.8,20.700001,0,5118.6499,9.1999998,0,802.70001,0,0,26.450001,550.84998,936.09998,0,8.0048981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057500001,0,0,0
sub642,Serbest25,27,U,3277,511,Apple,iOS,0,0,1,4G,SAATLI,860.20001,2364.3999,4611.5,107451.4,277696.25,474395.69,143.6465,135.06749,118.30051,193.2,515.20001,930.34998,23027.6,69386.398,120321.05,137.0685,154.88199,148.72951,312.79999,992.45001,1940.05,40522.551,112755.2,182416.45,148.9825,130.6515,108.1345,132.25,293.25,699.20001,34109.816,85142.344,122714.7,28380.781,64.814003,153.5825,267.42099,70.150002,162.14999,269.10001,11.5,17.25,29.9,0,0,0,63550.148,182141.59,0,0,0,0,0,29802.25,0,0,5940.8999,2049.3,0,11225.15,3033.7,2421.8999,4.5999999,35.650002,8.0500002,4713.8501,0,9502.4502,0,0,29.9,645.15002,8094.8501,709.41669,70.199326,0,0,0,1.725,2.3,2.3,1.2420001,0.69000006,1.2420001,0.69000006,10.557,4.9680004,0,0,0,0,0,0
sub643,Serbest25,29,U,2371,859,Samsung,Android OS,1,0,1,4G,GENCE,1181.05,3067.05,6561.8999,113072.6,248999.16,522451.91,110.101,93.3685,91.563004,468.04999,1047.65,2040.1,37212.852,81796.047,169665.25,91.436501,89.792,95.6455,348.45001,940.70001,2043.55,43842.602,82695.352,160292.75,144.69299,101.0965,90.206001,243.8,680.79999,1324.8,24638.588,70066.086,134361.41,23355.361,41.698997,137.7585,258.04849,41.400002,138,258.75,5.75,16.1,31.049999,0,0,0,81056.602,164620.2,0,0,0,0,0,24560.551,0,0,570.40002,0,0,3247.6001,2593.25,5866.1499,18.4,0,72.449997,5868.4502,0,0,0,0,57.5,253,5467.1001,4.5065384,140.67326,0,0,0,0,8.2799997,16.905001,10.419001,0.34500003,10.419001,0.55199999,20.976,11.109,0.057500001,0.46000001,0.115,0.63249999,0,0
sub644,Azercellim,55,F,176,175,Samsung,Android OS,1,0,1,4G,GEDEBEY,55.200001,94.300003,217.35001,5586.7002,7968.3501,21154.25,116.3915,97.175003,111.9295,14.95,37.950001,92,1244.3,2595.55,8928.5996,95.7145,78.648499,111.60751,17.25,21.85,27.6,773.95001,917.70001,1484.65,51.600498,48.299999,61.858501,9.1999998,39.099998,127.65,0,0,0,0,2.576,5.9799995,15.157001,3.45,6.9000001,14.95,1.15,2.3,5.75,0,0,0,2018.25,3513.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3800001,1.196,1.725,2.53,1.932,4.7149997,0,0,0,0,87.400002,16.1
sub645,Azercellim,33,M,90,90,Samsung,Android OS,1,0,1,4G,KURDEMIR,292.10001,1026.95,1026.95,59951.801,194217.75,194217.75,236.026,217.48799,217.48799,24.15,164.45,164.45,3723.7,20076.699,20076.699,177.3185,140.392,140.392,6.9000001,9.1999998,9.1999998,156.39999,180.55,180.55,26.070499,22.574499,22.574499,518.65002,1179.9,1179.9,8525.9619,20511.469,20511.469,6837.1567,5.3934999,37.1105,37.1105,4.5999999,36.799999,36.799999,2.3,16.1,16.1,0,0,0,3880.1001,20257.25,0,575,0,0,0,0,0,575,761.29999,362.25,0,1822.75,3759.3501,0,0,0,0,0,0,0,0,0,9.1999998,1651.4,4122.75,3.0088718,5.1241121,0,3.45,0,4.0250001,20.700001,20.700001,0.414,0.78200001,0.55199999,5.29,0.55199999,5.29,0,0,0,0,0,0
sub646,Azercellim,64,F,3216,884,Samsung,Android OS,1,0,1,3G,BAKI,141.45,570.40002,998.20001,7638.2998,34650.648,59289.398,62.099998,69.862503,68.310005,33.349998,179.39999,379.5,1292.6,10124.6,20406.75,44.573997,64.905998,61.835499,42.549999,109.25,149.5,2843.95,6695.2998,9124.0996,76.865997,70.472,70.184502,59.799999,187.45,330.04999,0,0,0,0,5.7270002,21.459,36.708,4.5999999,25.299999,39.099998,3.45,19.549999,31.049999,0,0,0,4136.5498,16964.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1399999,1.564,10.280999,10.488,13.869,21.712,0,0.17250001,0.17250001,0.23,42.549999,2.3
sub647,G6,42,F,3065,422,Xiaomi,Android OS,1,0,1,3G,BAKI,169.05,572.70001,939.54999,19413.15,56860.602,93166.102,132.06599,114.1835,114.034,41.400002,158.7,267.95001,5754.6001,13660.85,21935.1,159.85001,98.992004,94.139,3.45,8.0500002,35.650002,189.75,509.45001,2819.8,63.25,72.783501,90.964996,349.60001,961.40002,1427.15,3101.4924,13557.372,21660.986,4519.1245,13.2595,43.067501,78.625504,11.5,40.25,73.485001,1.15,4.5999999,10.35,0,0,0,5944.3501,14170.3,0,0,0,3532.8,0,0,3100.3999,0,4.5999999,0,0,220.8,0,359.95001,4.5999999,0,5.75,793.5,0,0,1.15,0,0,81.650002,117.3,2.7476416,0,0,0,0,0,0,0,0.27599999,4.0710001,0.82800001,11.454,4.0019999,19.113001,3.1624999,0,6.8424997,0.057500001,0,0
sub648,Azercellim,57,M,138,335,Samsung,Android OS,1,0,1,4G,ABSHERON,218.5,606.04999,1150,11942.75,32814.102,72102.703,62.859001,62.260998,72.105003,40.25,115,197.8,886.65002,3784.6499,7233.5,25.334501,37.8465,42.0555,29.9,71.300003,98.900002,1177.6,3594.8999,5219.8501,45.287003,57.982998,60.696999,51.75,157.55,297.85001,0,0.0115,0.0115,0.003833334,3.9445,11.753,20.01,0,8.0500002,20.700001,0,2.3,6.9000001,0,0,0,2270.1001,7633.7002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0.0115,0.034499999,0.046,2.0009999,1.702,5.7270002,5.5200005,8.2799997,9.8900003,0.057500001,0.057500001,0.115,0.057500001,16.1,0
sub649,Azercellim,29,F,50,49,Apple,iOS,1,0,1,4G,BAKI,228.85001,316.25,316.25,14932.75,24772.15,24772.15,75.037498,90.079498,90.079498,25.299999,39.099998,39.099998,1347.8,2212.6001,2212.6001,61.260502,65.078499,65.078499,85.099998,98.900002,98.900002,3761.6499,4215.8999,4215.8999,50.830002,49.024502,49.024502,117.3,185.14999,185.14999,19340.826,58866.305,58866.305,19622.102,25.828999,69.126503,69.126503,25.299999,70.150002,70.150002,3.45,8.0500002,8.0500002,0,0,0,5499.2998,6818.3501,0,11776,0,0,0,0,0,19225.699,566.95001,0,0,1733.05,0,3381,4.5999999,0,0,5640.75,0,0,0,0,0,922.29999,2490.8999,0.71821481,0,0,17.25,0,17.25,57.5,57.5,6.7620001,1.472,7.7279997,2.346,7.7279997,2.346,0.057500001,0.115,0.057500001,0.115,0,0
sub650,Azercellim,19,F,11,2,Apple,iOS,1,0,1,4G,ABSHERON,2.3,2.3,2.3,27.6,27.6,27.6,13.8,13.8,13.8,0,0,0,0,0,0,0,0,0,2.3,2.3,2.3,27.6,27.6,27.6,13.8,13.8,13.8,27.6,27.6,27.6,2034.166,2034.166,2034.166,678.05536,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0,0,0,27.6,27.6,0,0,0,0,0,0,0,0,0,2033.2,0,0,2033.2,10.35,1.15,0,0,240.35001,0,909.65002,0,0,6.9000001,241.5,205.85001,0.049998619,8.4875994,0,0,0,0,0,0,3.08E-09,0,3.08E-09,0,3.08E-09,0,0,0,0,0,0,32.200001
sub651,Azercellim,27,M,45,45,Samsung,Android OS,1,0,1,4G,ABSHERON,109.25,170.2,170.2,14191,19077.35,19077.35,149.3735,128.9035,128.9035,9.1999998,18.4,18.4,500.25,1300.65,1300.65,62.537003,81.293503,81.293503,6.9000001,24.15,24.15,376.04999,1921.65,1921.65,62.674999,91.505501,91.505501,102.35,196.64999,196.64999,8626.7939,9043.4854,9043.4854,3014.4951,13.6505,19.366001,19.366001,17.25,21.85,21.85,6.9000001,10.35,10.35,0,0,0,876.29999,3432.75,0,1246.6,0,0,0,0,0,1246.6,655.5,6804.5498,0,670.45001,6944.8501,92,0,0,0,0,0,1754.9,0,0,0,616.40002,3436.2,0.30476245,0.98976839,0,6.9000001,0,9.7749996,12.604,14.7775,0.62100005,0.50599998,1.794,1.012,1.794,1.012,0,0,0,0,4.5999999,2.3
sub652,Azercellim,33,M,4,4,Samsung,Android OS,1,0,1,4G,BAKI,27.6,27.6,27.6,3218.8501,3218.8501,3218.8501,134.1245,134.1245,134.1245,5.75,5.75,5.75,177.10001,177.10001,177.10001,35.419998,35.419998,35.419998,5.75,5.75,5.75,632.5,632.5,632.5,126.5,126.5,126.5,20.700001,20.700001,20.700001,0,0,0,0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0,0,0,809.59998,809.59998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70E-08,5.14E-09,1.70E-08,5.14E-09,1.70E-08,5.14E-09,0,0,0,0,0,28.75
sub653,Azercellim,40,F,47,47,Huawei,Android OS,1,0,1,4G,BAKI,82.800003,139.14999,139.14999,2343.7,4274.5498,4274.5498,32.556499,35.327999,35.327999,13.8,32.200001,32.200001,269.10001,663.54999,663.54999,22.424999,23.7015,23.7015,19.549999,34.5,34.5,841.79999,1255.8,1255.8,49.519001,41.860001,41.860001,111.55,181.7,181.7,126.28149,143.0715,143.0715,47.690502,2.806,5.658,5.658,2.3,6.9000001,6.9000001,2.3,6.9000001,6.9000001,0,0,0,1110.9,1919.35,0,0,0,0,0,0,0,0,0,125.35,0,0,125.35,78.199997,0,0,0,26.450001,0,0,0,0,0,4.5999999,0,0,0,0,0,0,0.57499999,0.57499999,0.57499999,1.449,0.55199999,2.346,1.2420001,2.346,1.2420001,0.115,0.23,0.115,0.23,5.75,4.5999999
sub654,Azercellim,23,F,540,132,Hmd Global Oy,Proprietary,1,1,0,4G,ABSHERON,36.799999,117.3,358.79999,11732.3,21349.75,101469.1,366.6315,209.31149,325.21997,10.35,26.450001,67.849998,2985.3999,3807.6499,21984.551,331.70599,165.554,372.62299,6.9000001,11.5,20.700001,249.55,595.70001,1989.5,41.595497,59.57,110.5265,27.6,166.75,351.89999,0,0,0,0,2.7600002,8.0155001,12.466001,2.3,8.0500002,10.35,1.15,3.45,5.75,0,0,0,3234.95,4709.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55199999,2.2079999,1.265,3.3004999,2.829,5.4970002,0.115,0.057500001,0.34500003,0.057500001,152.95,26.450001
sub655,Azercellim,31,M,29,15,Samsung,Android OS,1,0,1,4G,ABSHERON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,29.9,29.9,5.0025001,5.0025001,5.0025001,1.6675,1.0005,1.0005,1.0005,2.3,2.3,2.3,1.15,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0,4.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060989998,0,0,0,1.0005,1.0005,1.0005,1.0005,0,0,0,0,0,0,0,0,0,0,0,28.75
sub656,Azercellim,42,F,89,16,Samsung,Proprietary,1,1,0,4G,ABSHERON,116.15,175.95,175.95,18140.1,22327.25,22327.25,179.60699,145.935,145.935,25.299999,43.700001,43.700001,1781.35,3171.7,3171.7,80.971504,83.467003,83.467003,3.45,16.1,16.1,87.400002,612.95001,612.95001,29.129499,43.780499,43.780499,184,328.89999,328.89999,0.24149999,14.6165,14.6165,4.8721666,5.4740005,10.304,10.304,2.3,10.35,10.35,2.3,8.0500002,8.0500002,0,0,0,1869.9,4317.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17250001,0.74749994,1.7710001,1.7709999,0.207,1.702,0.89700001,2.7485001,0.89700001,2.7485001,0,-1.71E-09,0,-1.71E-09,28.75,0
sub657,Azercellim,26,F,13,12,Ut Group Limited,Proprietary,1,1,0,4G,BAKI,52.900002,52.900002,52.900002,17463.9,17463.9,17463.9,379.64951,379.64951,379.64951,17.25,17.25,17.25,7120.7998,7120.7998,7120.7998,474.71997,474.71997,474.71997,8.0500002,8.0500002,8.0500002,1413.35,1413.35,1413.35,201.9055,201.9055,201.9055,24.15,24.15,24.15,0.0115,0.0115,0.0115,0.003833334,4.5999999,4.5999999,4.5999999,4.5999999,4.5999999,4.5999999,3.45,3.45,3.45,0,0,0,8534.1504,8534.1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057500001,0.057500001,0.057500001,0.057500001,0.34500003,2.9900002,0.34500003,2.9900002,0.34500003,2.9900002,-8.57E-10,0,-8.57E-10,0,0,19.549999
sub658,Azercellim,20,F,5,1,Xiaomi,Android OS,1,0,1,4G,BAKI,63.25,63.25,63.25,4924.2998,4924.2998,4924.2998,89.527496,89.527496,89.527496,19.549999,19.549999,19.549999,874,874,874,51.4165,51.4165,51.4165,0,0,0,0,0,0,0,0,0,112.7,112.7,112.7,2814.7974,2814.7974,2814.7974,938.26587,11.4655,11.4655,11.4655,11.5,11.5,11.5,5.75,5.75,5.75,0,0,0,874,874,460,1177.6,0,0,0,0,0,177.10001,434.70001,2166.6001,0,434.70001,2166.6001,223.10001,3.45,807.29999,5.75,100.05,0,0,3.45,0,3.45,501.39999,302.45001,32.788704,0.8617323,0,5.75,0.25299999,6.5780001,6.5780001,6.5779996,0,0.92000002,0,0.92000002,0,0.92000002,0,0,0,0,0,27.6
sub659,Azercellim,43,F,52,39,Samsung,Proprietary,1,1,0,4G,ABSHERON,3.45,8.0500002,8.0500002,520.95001,732.54999,732.54999,173.64999,104.65,104.65,0,4.5999999,4.5999999,0,211.60001,211.60001,0,52.900002,52.900002,0,0,0,0,0,0,0,0,0,67.849998,90.849998,90.849998,0,0,0,0,0.322,0.667,0.667,0,1.15,1.15,0,1.15,1.15,0,0,0,520.95001,732.54999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.23,0.057500001,0,0.057500001,0,0,12.65
sub660,Serbest10,28,M,2938,113,Xiaomi,Android OS,1,0,1,4G,QEBELE,127.65,286.35001,619.84998,12387.8,36997.801,88065.852,111.60751,148.58,163.392,25.299999,59.799999,119.6,2096.45,4720.75,15983.85,95.289001,90.781006,153.686,3.45,10.35,17.25,164.45,552,1002.8,54.820499,61.329502,66.849503,80.5,340.39999,538.20001,1425.08,9409.7256,13995.19,3136.5752,10.327,42.837502,73.554001,5.75,33.349998,69,4.5999999,18.4,31.049999,0,0,0,2260.8999,5272.75,0,0,0,0,0,0,0,0,72.449997,0,1424.85,1296.05,0,274.85001,2.3,0,209.3,104.65,0,0,0,0,4.5999999,0,270.25,0.34846368,58.606869,0,0,0,0,0,0,0.368,3.036,1.196,6.8309999,2.1159999,20.01,0,0.17250001,0.057500001,0.17250001,0,1.15
sub661,Azercellim,52,M,269,247,Samsung,Android OS,1,0,1,4G,ABSHERON,3.45,3.45,4.5999999,463.45001,463.45001,616.40002,154.47951,154.47951,154.10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,14.95,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.049999
sub662,Azercellim,46,M,275,275,Shenzhen Xiaolajiao Technology Limited Liability,Proprietary,1,1,0,4G,BAKI,3.45,10.35,102.35,62.099998,196.64999,2853.1499,20.700001,21.85,32.062,0,0,6.9000001,0,0,339.25,0,0,56.545498,0,0,24.15,0,0,639.40002,0,0,30.452,55.200001,140.3,350.75,0,0,29.348,0,0,0,4.4619999,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.518,0.414,0,0,0,0.057500001,90.849998,13.8
sub663,G6,44,F,3302,671,Huawei,Android OS,1,0,1,3G,BAKI,174.8,548.54999,1085.6,13174.4,36682.699,85499.047,86.675507,76.900505,90.574005,37.950001,164.45,254.14999,2159.7,10866.35,16390.949,65.446503,75.992004,74.163498,14.95,55.200001,80.5,711.84998,2507,3784.6499,54.763,52.232998,54.061497,149.5,508.29999,938.40002,169.40649,8624.9199,9718.501,2874.9731,10.3845,39.801502,53.935001,12.65,37.950001,52.900002,5.75,14.95,25.299999,0,0,0,2871.55,13805.75,0,0,0,3532.8,0,0,169.05,0,0,0,0,1501.9,1158.05,2.3,0,0,0,36.799999,0,0,0,0,0,0,0,0.23621821,2.5088823,0,0,0,0,3.45,7.4749999,1.3800001,0.87400001,4.8299999,4.8759999,7.5669999,7.8200002,0.23,0,0.4025,0.057500001,17.25,0
sub664,Azercellim,64,M,3323,441,Samsung,Android OS,1,0,1,3G,BAKI,78.199997,300.14999,863.65002,3431.6001,28580.949,70260.398,50.462002,109.503,93.552498,0,50.599998,167.89999,0,3165.95,11534.5,0,71.955498,79.004997,0,9.1999998,87.400002,0,668.15002,5331.3999,0,83.524498,70.150002,1.15,66.699997,161,0,787.14044,1362.198,262.38016,0,11.384999,30.705,0,9.1999998,28.75,0,6.9000001,23,0,0,0,0,3834.1001,0,0,0,0,0,0,0,0,0,0,0,242.64999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9000001,10.35,0,0,1.035,3.45,8.349,11.546,0,0,0,0,36.799999,3.45
sub665,Azercellim,29,M,90,45,Samsung,Android OS,1,0,1,4G,BAKI,3.45,16.1,16.1,73.599998,442.75,442.75,24.529499,31.625,31.625,1.15,3.45,3.45,10.35,79.349998,79.349998,10.35,26.450001,26.450001,2.3,6.9000001,6.9000001,63.25,152.95,152.95,31.625,25.495501,25.495501,28.75,144.89999,144.89999,0,20.125,20.125,6.7083335,0.184,5.1634998,5.1634998,0,11.5,11.5,0,3.45,3.45,0,0,0,73.599998,232.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58649999,0.58649999,0.138,0.046,0.414,0.138,0.414,0.138,0,0,0,0,0,24.15
sub666,Azercellim,20,M,24,24,Huawei,Android OS,1,0,1,4G,ABSHERON,89.699997,89.699997,89.699997,3254.5,3254.5,3254.5,41.722,41.722,41.722,44.849998,44.849998,44.849998,1368.5,1368.5,1368.5,35.086502,35.086502,35.086502,18.4,18.4,18.4,962.54999,962.54999,962.54999,60.156502,60.156502,60.156502,202.39999,202.39999,202.39999,524.30804,524.30804,524.30804,174.76933,4.8299999,4.8299999,4.8299999,4.5999999,4.5999999,4.5999999,4.5999999,4.5999999,4.5999999,0,0,0,2331.05,2331.05,575,0,0,0,0,0,0,0,1.15,95.449997,0,1.15,95.449997,46,6.9000001,0,0,100.05,0,0,0,0,4.5999999,4.5999999,102.35,0.63702309,57.941277,0,0,0,0,0,0,0.69000006,0.36800003,0.69000006,0.36800003,0.69000006,0.36800003,-7.71E-09,0,-7.71E-09,0,0,5.75
sub667,Azercellim,24,M,36,0,Xiaomi,Android OS,1,0,1,4G,FIZULI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,20.700001,20.700001,0,0,0,0,0,19.549999,19.549999,0,24.15,24.15,0,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.200001
sub668,G6,35,F,3498,1280,LG,Android OS,1,0,1,4G,ABSHERON,42.549999,155.25,280.60001,6066.25,28590.15,43286,163.95551,211.784,177.39899,0,2.3,10.35,0,17.25,181.7,0,8.625,20.194,0,1.15,1.15,0,52.900002,52.900002,0,52.900002,52.900002,83.949997,276,540.5,317.45749,1771.23,4064.6289,590.41003,0,10.5915,24.886,0,10.35,24.15,0,3.45,8.0500002,0,0,0,0,70.150002,0,0,0,0,0,0,0,317.39999,0,0,0,98.900002,0,101.2,0,0,49.450001,0,0,0,0,0,0,0,2.3,0,2.8756349,0,0,0,0,10.35,24.15,0,0,0.092,0.138,0.092,0.62100005,0,0,0,0,1.15,2.3
sub669,Azercellim,58,M,841,46,Samsung,Android OS,1,0,1,4G,ABSHERON,349.60001,1109.75,2020.55,18351.699,70725,145530.2,60.363503,73.289497,82.834496,95.449997,264.5,509.45001,4485,19655.801,40171.801,54.038502,85.456497,90.677498,97.75,431.25,765.90002,7029.9502,27988.699,56412.102,82.708,74.635002,84.697502,455.39999,1411.05,3309.7,51973.352,176874.27,352623.59,58958.082,85.571503,287.82199,537.40649,101.2,293.25,516.34998,14.95,48.299999,79.349998,0,0,0,11824.3,49068.199,0,0,0,0,0,0,0,0,8882.5996,51973.102,0,32463.35,176872.3,3498.3,11.5,0,749.79999,3182.05,0,13613.7,0,0,31.049999,17.25,19477.551,3.0569994,745.61285,0,0,0,33.465,81.995003,306.98102,10.143,5.244,42.159,18.998001,81.350998,37.996002,0.46000001,0.23,0.46000001,0.4025,0,0
sub670,Azercellim,41,M,141,141,Samsung,Android OS,1,0,1,3G,ABSHERON,423.20001,839.5,1114.35,22681.449,73180.25,105536.65,61.639999,100.2455,108.9165,74.75,159.85001,192.05,1790.55,4292.9502,5262.3999,27.542501,30.889,31.51,85.099998,174.8,226.55,2095.3,4588.5,6001.8501,28.313002,30.1875,30.463499,40.25,182.85001,234.60001,575.03448,1183.465,1227.188,394.48831,12.0175,35.466,47.057999,10.35,33.349998,47.150002,3.45,10.35,16.1,0,0,0,3885.8501,8881.4502,0,575,0,0,0,0,0,575,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,9.1999998,0.081667662,0.013813257,0,3.45,0,3.45,13.776999,19.964001,5.382,3.128,11.384999,7.0839996,14.421,8.1879997,2.0699999,0.115,2.1275001,0.115,4.5999999,0
sub671,Azercellim,58,M,149,33,Xiaomi,Android OS,1,0,1,4G,BAKI,1.15,2.3,2.3,10.35,17.25,17.25,10.35,8.625,8.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.95,134.55,142.60001,0.60949999,0.60949999,0.60949999,0.20316666,3.0935001,5.9685001,30.693501,2.875,14.375,39.674999,1.15,2.3,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2185,0.2185,0.2185,0.2185,0,0,0,0,0,0,0,0,0,0,27.6,19.549999
sub672,Azercellim,23,F,10,10,Samsung,Android OS,1,0,1,4G,AGCABEDI,100.05,100.05,100.05,14731.5,14731.5,14731.5,169.326,169.326,169.326,43.700001,43.700001,43.700001,3133.75,3133.75,3133.75,82.466499,82.466499,82.466499,0,0,0,0,0,0,0,0,0,24.15,24.15,24.15,0,0,0,0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0,0,0,3133.75,3133.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09E-08,0,7.09E-08,0,7.09E-08,0,0,0,0,0,21.85
sub673,Azercellim,51,F,343,338,Nokia,Proprietary,0,1,0,4G,BAKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5999999,46,121.9,0,0,0,0,0,5.75,11.5,0,6.9000001,10.35,0,2.3,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.099998,33.349998
